Data,Label
mera bank ke masla hua wa aap aapna account number bhj sakta hu plese,S
Baba kidher hain?,N
sir ap ki lottery nikla ha apna contact number share kr da,S
Sameed kesaa haii?,N
deye gaye number par rabta kerke ainaam jete,S
Ap ke bank account freeze ho gaya,S
Sameed kesaa haii?,N
meri beti ki tabiyat khrab h please paisa bhj da,S
Ap ka lucky draw nikla hai apna account number da da for transfer.,S
sir aapke total bill 5k hua aapku 2 sa 3 din tak ye mil jaya ga,N
ghar wala theek ha,N
kisi bhi cheez ki khridari ya bechne kei liye OLX par aj hi jayein,N
hn yaar kesa ha,N
Aaap kyaa krrhi haiin?,N
mera bank ke masla hua wa aap aapna account number bhaj sakta hu plese,S
ghar wala theek ha,N
Aoa ma nadra sa baat kr rahai hu mujhai ap ka id card number ki zarurt hai,S
Baba kidher hin?,N
meri beti ki tabiyat kharab ha plese paisa bhaj da,S
AJ KAL KAHA HUTA HA,N
Aaj mosam kesaa hai?,N
Ap ka bank account freeze ho gaya,S
deye gaye number par rabta karke ainaam jete,S
apka account hack ho gaya hai sahi karni kei liye OTP batayin,S
Baba kyaa krrhey hin?,N
deye gaye number par rabta kaarke ainaam jete,S
ma apka daraz ka packagae kla raha hu plese location bata da,N
hair roz kei 100 ruppe jetne kei liye OTP bataye,S
kia chl rah h,N
ji acha tu apka naam ha card par chala OTP plz bhaj da,S
kia khila ra phir,N
Ainaam jetne kei liye OTP haime bataye,S
ap kei account sei 1000 ruppe nikaal liye gaye waja jaane kei liye apna account password dein,S
Ap ka lucky draw nikla h apna account number da da for transfer.,S
Aaap kyaa krrhi hin?,N
aap kei account sei 1000 ruppe nikel liye gaye waja jaane kei liye aapna account password dein,S
meri beti ki tabiyat kharab ha please paisa bhaj da,S
Mam ma aapka bank sa baat kr rah hu plz aapna bank number bata da,S
Baba kyaa krrhey haiin?,N
ji acha tu aapka naam ha card par chala OTP plz bhaj da,S
AJ KAL KAHA HUTA HA,N
aapke account haick ho gaya haii sahi kerni kei liye OTP batayin,S
kia chl rah h,N
Ap ke lucky draw nikla hai apna account number da da for transfer.,S
Hello ma kesi hu ap,N
AJ KAL KAHA HUTA HA,N
mera bank kaa masla hua wa ap apna account number bhaj sakta hu please,S
sir ap ki lottery nikla hai apna contact number shaire kr da,S
Ap ka lucky draw nikla ha apna account number da da for transfer.,S
sir apka total bill 5k hua apku 2 sa 3 din tak ye mil jaya ga,N
aoa uncle ma aapkaa cousin bat kr rahai hu mujhai paisa chaihiya,S
Ainaam jetne kei liye OTP hme bataye,S
ap kei account sei 1000 ruppe nikal liye gaye waja jaane kei liye apna account password dein,S
Sameed kesaa hai?,N
sir aap ki lottery nikla hai aapna contact number shaire kr da,S
meri beti ki tabiyat khairab hai please paisa bhaij da,S
ma aapkaa daraz kaa packaagae kla rah hu plese location bata da,N
AJ KAL KAHA HUTA HA,N
Hello ma kesi hu ap,N
AJ KAL KAHA HUTA HA,N
sir ap ki lottery nikla hai apna contact number shaire kr da,S
ji mam aap ka order kidr lana hai,N
maam plese apna bank account number da da,S
Aoa ma nadra sa baat kr rahai hu mujhai aap ke id card number ki zarurt hai,S
Ap kaa bank account freeze ho gaya,S
Sameed kesaa haii?,N
ap kei account sei 1000 ruppe nikel liye gaye waja jaane kei liye apna account password dein,S
Mam ma apke bank sa baat kr raha hu plz apna bank number bata da,S
deye gaye number par rabta kaarke ainaam jete,S
kisi bhi cheez ki khairidari ya bechne kei liye OLX par aj hi jayein,N
ji acha tu aapka naam ha card par chala OTP plese bhaj da,S
sir ap ki lottery nikla hai apna contact number shaire kr da,S
Kyaa aaap theek haiin?,N
ghar wala theek ha,N
sir apkaa total bill 5k hua apku 2 sa 3 din tak ye mil jaya ga,N
Ap kaa bank account freeze ho gaya,S
kia chail rahai hai,N
sir aapka total bill 5k hua aapku 2 sa 3 din tak ye mil jaya ga,N
Mam ma aapke bank sa baat kr raha hu please aapna bank number bata da,S
mama uncle ku na bhja ma khud a jao ga,N
ji achai tu apke naam hai card par chaila OTP please bhaij da,S
Baba kyaa krrhey hain?,N
kia kaarna phir aga,N
sir aapka total bill 5k hua aapku 2 sa 3 din tak ye mil jaya ga,N
Ap ka bank account freeze ho gaya,S
kia chl rah h,N
Sameed kesaa haii?,N
hn yaar kaasa h,N
ma aapkaa daraz kaa packaagae kla rah hu please location bata da,N
Aoa ma nadra sa baat kr rah hu mujh aap ka id card number ki zarurt h,S
aoa uncle ma aapka cousin bat kr rah hu mujh paisa chhiya,S
ma hospital ma hu mujhai paisu ki zarurat hai,S
Sameed kesaa hi?,N
Aoa ma nadra sa baat kr rah hu mujh aap kaa id card number ki zarurt h,S
Ap ke bank account freeze ho gaya,S
kia chal raha ha,N
Aaj mosam kesaa hai?,N
ji mam aap ka order kidr lana hai,N
Aaap kyaa krrhi hin?,N
aoa uncle ma aapka cousin bat kr raha hu mujha paisa chahiya,S
dada ki tabiyat kesi h ab,N
Hello ma kaasi hu aap,N
ghar wala theek ha,N
mama uncle ku na bhja ma khud a jao ga,N
Aaj mosam kesaa hi?,N
ma aapke daraz ke packegae kla rahai hu plz location bata da,N
kia khila ra phir,N
kia khila ra phir,N
aap kei account sei 1000 ruppe nikal liye gaye waja jaane kei liye aapna account password dein,S
Aoa ma nadra sa baat kr raha hu mujha aap kaa id card number ki zarurt ha,S
Sameed kesaa hi?,N
ji achai tu aapka naam hai card par chaila OTP plz bhaij da,S
Ap ka bank account freeze ho gaya,S
aap kei account sei 1000 ruppe nikal liye gaye waja jaane kei liye aapna account password dein,S
maam plz aapna bank account number da da,S
Sameed kesaa hai?,N
Hello ma kasi hu ap,N
Hello ma kasi hu ap,N
